complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area,affected_population,government_level,department,problem_type,solution_type
SS00656,urgent govt inspection today for lack of soil testing & low fertility n smart AI tech for future plzz,Agriculture & Crop Management,Lack of Soil Testing & Low Fertility,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Agriculture Department,Service Delivery,Govt Action + University R&D
SS00657,"Soil Erosion & Mining Runoff Damage in our village area is completely non-functional, urgent government action required.",Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,High,Persistent,No,None,1200,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00658,"Pichle 15 din se soil erosion & mining runoff damage ka dikkat ho raha hai, authority field team ko bheje.",Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,High,Occasional,No,None,150,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00659,हमारे पंचायत में soil erosion & mining runoff damage से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Medium,Persistent,No,None,3500,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00660,soil erosion & mining runoff damage issue in ward 3 officer not picking up calls,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Low,Occasional,No,None,450,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00661,gaov me soil erosion & mining runoff damage kharab h 2 mahine se koi sunne wala nahi h,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Medium,Occasional,No,None,3500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00662,Block level grievance filed for soil erosion & mining runoff damage last month but service is pending.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Low,One-time,No,None,8500,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00663,Urgent maintenance team required for soil erosion & mining runoff damage near village center.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,High,One-time,No,None,150,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00664,Public facility for soil erosion & mining runoff damage has been completely unmaintained for 3 months.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Low,Persistent,No,None,150,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00665,Gaon me soil erosion & mining runoff damage work left incomplete by local contractor.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Medium,Occasional,No,None,150,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00666,"ग्राम पंचायत में soil erosion & mining runoff damage की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Government,Medium,Persistent,No,None,150,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00667,We need an automated digital technology system for soil erosion & mining runoff damage (smart civic infrastructure & sensor analytics) to monitor continuously.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Agriculture Department,Service Delivery,University R&D
SS00668,Is soil erosion & mining runoff damage problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Agriculture Department,Service Delivery,University R&D
SS00669,नवीनतम तकनीक और एआई मॉडल के माध्यम से soil erosion & mining runoff damage का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00670,need AI and IoT smart technology solution for soil erosion & mining runoff damage,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Agriculture Department,Service Delivery,University R&D
SS00671,Developing an offline smart system for soil erosion & mining runoff damage will eliminate manual delays.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00672,University student startup project required for soil erosion & mining runoff damage technological innovation.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Agriculture Department,Service Delivery,University R&D
SS00673,Abhi तुरंत department emergency team bheje for soil erosion & mining runoff damage aur future ke liye early warning technology setup karein.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00674,Har monsoon/season soil erosion & mining runoff damage me ye issue hota hai. Immediate repair along with long-term technological innovation.,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00675,प्रशासन से तुरंत soil erosion & mining runoff damage के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00676,urgent govt inspection today for soil erosion & mining runoff damage n smart AI tech for future plzz,Agriculture & Crop Management,Soil Erosion & Mining Runoff Damage,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00677,"Fragmented Small Landholdings in our village area is completely non-functional, urgent government action required.",Agriculture & Crop Management,Fragmented Small Landholdings,Government,High,Persistent,No,None,8500,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00678,"Pichle 15 din se fragmented small landholdings ka dikkat ho raha hai, authority field team ko bheje.",Agriculture & Crop Management,Fragmented Small Landholdings,Government,High,Occasional,No,None,3500,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00679,हमारे पंचायत में fragmented small landholdings से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Agriculture & Crop Management,Fragmented Small Landholdings,Government,Medium,Persistent,No,None,1200,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00680,fragmented small landholdings issue in ward 3 officer not picking up calls,Agriculture & Crop Management,Fragmented Small Landholdings,Government,Low,Occasional,No,None,1200,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00681,gaov me fragmented small landholdings kharab h 2 mahine se koi sunne wala nahi h,Agriculture & Crop Management,Fragmented Small Landholdings,Government,Medium,Occasional,No,None,150,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00682,Block level grievance filed for fragmented small landholdings last month but service is pending.,Agriculture & Crop Management,Fragmented Small Landholdings,Government,Low,One-time,No,None,8500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00683,Urgent maintenance team required for fragmented small landholdings near village center.,Agriculture & Crop Management,Fragmented Small Landholdings,Government,High,One-time,No,None,1200,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00684,Public facility for fragmented small landholdings has been completely unmaintained for 3 months.,Agriculture & Crop Management,Fragmented Small Landholdings,Government,Low,Persistent,No,None,450,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00685,Gaon me fragmented small landholdings work left incomplete by local contractor.,Agriculture & Crop Management,Fragmented Small Landholdings,Government,Medium,Occasional,No,None,150,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00686,"ग्राम पंचायत में fragmented small landholdings की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Agriculture & Crop Management,Fragmented Small Landholdings,Government,Medium,Persistent,No,None,1200,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00687,We need an automated digital technology system for fragmented small landholdings (smart civic infrastructure & sensor analytics) to monitor continuously.,Agriculture & Crop Management,Fragmented Small Landholdings,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00688,Is fragmented small landholdings problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Agriculture & Crop Management,Fragmented Small Landholdings,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00689,नवीनतम तकनीक और एआई मॉडल के माध्यम से fragmented small landholdings का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Crop Management,Fragmented Small Landholdings,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Agriculture Department,Service Delivery,University R&D
SS00690,need AI and IoT smart technology solution for fragmented small landholdings,Agriculture & Crop Management,Fragmented Small Landholdings,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Agriculture Department,Service Delivery,University R&D
SS00691,Developing an offline smart system for fragmented small landholdings will eliminate manual delays.,Agriculture & Crop Management,Fragmented Small Landholdings,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00692,University student startup project required for fragmented small landholdings technological innovation.,Agriculture & Crop Management,Fragmented Small Landholdings,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00693,Abhi तुरंत department emergency team bheje for fragmented small landholdings aur future ke liye early warning technology setup karein.,Agriculture & Crop Management,Fragmented Small Landholdings,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00694,Har monsoon/season fragmented small landholdings me ye issue hota hai. Immediate repair along with long-term technological innovation.,Agriculture & Crop Management,Fragmented Small Landholdings,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00695,प्रशासन से तुरंत fragmented small landholdings के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Agriculture & Crop Management,Fragmented Small Landholdings,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,District Level (DC Office),Agriculture Department,Service Delivery,Govt Action + University R&D
SS00696,urgent govt inspection today for fragmented small landholdings n smart AI tech for future plzz,Agriculture & Crop Management,Fragmented Small Landholdings,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00697,"Single-Crop Dependency & Drought Loss in our village area is completely non-functional, urgent government action required.",Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,High,Persistent,No,None,1200,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00698,"Pichle 15 din se single-crop dependency & drought loss ka dikkat ho raha hai, authority field team ko bheje.",Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,High,Occasional,No,None,1200,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00699,हमारे पंचायत में single-crop dependency & drought loss से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Medium,Persistent,No,None,3500,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00700,single-crop dependency & drought loss issue in ward 3 officer not picking up calls,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Low,Occasional,No,None,150,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00701,gaov me single-crop dependency & drought loss kharab h 2 mahine se koi sunne wala nahi h,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Medium,Occasional,No,None,1200,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00702,Block level grievance filed for single-crop dependency & drought loss last month but service is pending.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Low,One-time,No,None,150,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00703,Urgent maintenance team required for single-crop dependency & drought loss near village center.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,High,One-time,No,None,3500,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00704,Public facility for single-crop dependency & drought loss has been completely unmaintained for 3 months.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Low,Persistent,No,None,3500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00705,Gaon me single-crop dependency & drought loss work left incomplete by local contractor.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Medium,Occasional,No,None,1200,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00706,"ग्राम पंचायत में single-crop dependency & drought loss की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Government,Medium,Persistent,No,None,8500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00707,We need an automated digital technology system for single-crop dependency & drought loss (smart civic infrastructure & sensor analytics) to monitor continuously.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Agriculture Department,Service Delivery,University R&D
SS00708,Is single-crop dependency & drought loss problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00709,नवीनतम तकनीक और एआई मॉडल के माध्यम से single-crop dependency & drought loss का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00710,need AI and IoT smart technology solution for single-crop dependency & drought loss,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00711,Developing an offline smart system for single-crop dependency & drought loss will eliminate manual delays.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Agriculture Department,Service Delivery,University R&D
SS00712,University student startup project required for single-crop dependency & drought loss technological innovation.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00713,Abhi तुरंत department emergency team bheje for single-crop dependency & drought loss aur future ke liye early warning technology setup karein.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,District Level (DC Office),Agriculture Department,Service Delivery,Govt Action + University R&D
SS00714,Har monsoon/season single-crop dependency & drought loss me ye issue hota hai. Immediate repair along with long-term technological innovation.,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00715,प्रशासन से तुरंत single-crop dependency & drought loss के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Agriculture Department,Service Delivery,Govt Action + University R&D
SS00716,urgent govt inspection today for single-crop dependency & drought loss n smart AI tech for future plzz,Agriculture & Crop Management,Single-Crop Dependency & Drought Loss,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00717,crop disease attack leaf photo upload AI disease detection model,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,High,Recurring,Yes,Computer Vision & Agricultural AI,1200,Panchayat Level,Agriculture Department,Service Delivery,University R&D
SS00718,fasal me keeda lag gaya h pest attack emergency diagnostic system,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,High,Recurring,Yes,Computer Vision & Agricultural AI,1200,Panchayat Level,Agriculture Department,Service Delivery,University R&D
SS00719,फसल में बीमारी लगी है AI मोबाइल ऐप से रोग की पहचान हेतु तकनीक चाहिए,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,High,Recurring,Yes,Computer Vision & Agricultural AI,8500,State Department,Agriculture Department,Service Delivery,University R&D
SS00720,"Pest Attacks & Crop Disease Outbreak in our village area is completely non-functional, urgent government action required.",Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,High,Persistent,No,None,1200,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00721,"Pichle 15 din se pest attacks & crop disease outbreak ka dikkat ho raha hai, authority field team ko bheje.",Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,High,Occasional,No,None,8500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00722,हमारे पंचायत में pest attacks & crop disease outbreak से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Medium,Persistent,No,None,1200,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00723,pest attacks & crop disease outbreak issue in ward 3 officer not picking up calls,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Low,Occasional,No,None,8500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00724,gaov me pest attacks & crop disease outbreak kharab h 2 mahine se koi sunne wala nahi h,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Medium,Occasional,No,None,1200,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00725,Block level grievance filed for pest attacks & crop disease outbreak last month but service is pending.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Low,One-time,No,None,3500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00726,Urgent maintenance team required for pest attacks & crop disease outbreak near village center.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,High,One-time,No,None,8500,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00727,Public facility for pest attacks & crop disease outbreak has been completely unmaintained for 3 months.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Low,Persistent,No,None,1200,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00728,Gaon me pest attacks & crop disease outbreak work left incomplete by local contractor.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Medium,Occasional,No,None,1200,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00729,"ग्राम पंचायत में pest attacks & crop disease outbreak की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Government,Medium,Persistent,No,None,8500,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00730,We need an automated digital technology system for pest attacks & crop disease outbreak (smart civic infrastructure & sensor analytics) to monitor continuously.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00731,Is pest attacks & crop disease outbreak problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00732,नवीनतम तकनीक और एआई मॉडल के माध्यम से pest attacks & crop disease outbreak का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00733,need AI and IoT smart technology solution for pest attacks & crop disease outbreak,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00734,Developing an offline smart system for pest attacks & crop disease outbreak will eliminate manual delays.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00735,University student startup project required for pest attacks & crop disease outbreak technological innovation.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00736,Abhi तुरंत department emergency team bheje for pest attacks & crop disease outbreak aur future ke liye early warning technology setup karein.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00737,Har monsoon/season pest attacks & crop disease outbreak me ye issue hota hai. Immediate repair along with long-term technological innovation.,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00738,प्रशासन से तुरंत pest attacks & crop disease outbreak के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Agriculture Department,Service Delivery,Govt Action + University R&D
SS00739,urgent govt inspection today for pest attacks & crop disease outbreak n smart AI tech for future plzz,Agriculture & Crop Management,Pest Attacks & Crop Disease Outbreak,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Agriculture Department,Service Delivery,Govt Action + University R&D
SS00740,"Livestock Disease & Veterinary Doctor Shortage in our village area is completely non-functional, urgent government action required.",Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,High,Persistent,No,None,8500,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00741,"Pichle 15 din se livestock disease & veterinary doctor shortage ka dikkat ho raha hai, authority field team ko bheje.",Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,High,Occasional,No,None,450,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00742,हमारे पंचायत में livestock disease & veterinary doctor shortage से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Medium,Persistent,No,None,450,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00743,livestock disease & veterinary doctor shortage issue in ward 3 officer not picking up calls,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Low,Occasional,No,None,3500,Panchayat Level,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00744,gaov me livestock disease & veterinary doctor shortage kharab h 2 mahine se koi sunne wala nahi h,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Medium,Occasional,No,None,3500,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00745,Block level grievance filed for livestock disease & veterinary doctor shortage last month but service is pending.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Low,One-time,No,None,450,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00746,Urgent maintenance team required for livestock disease & veterinary doctor shortage near village center.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,High,One-time,No,None,8500,District Level (DC Office),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00747,Public facility for livestock disease & veterinary doctor shortage has been completely unmaintained for 3 months.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Low,Persistent,No,None,3500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00748,Gaon me livestock disease & veterinary doctor shortage work left incomplete by local contractor.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Medium,Occasional,No,None,8500,Block Level (BDO),Agriculture Department,Service Delivery,Repair / Staff Posting
SS00749,"ग्राम पंचायत में livestock disease & veterinary doctor shortage की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Government,Medium,Persistent,No,None,1200,State Department,Agriculture Department,Service Delivery,Repair / Staff Posting
SS00750,We need an automated digital technology system for livestock disease & veterinary doctor shortage (smart civic infrastructure & sensor analytics) to monitor continuously.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00751,Is livestock disease & veterinary doctor shortage problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Agriculture Department,Service Delivery,University R&D
SS00752,नवीनतम तकनीक और एआई मॉडल के माध्यम से livestock disease & veterinary doctor shortage का स्वचालित समाधान किया जाना चाहिए।,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Agriculture Department,Service Delivery,University R&D
SS00753,need AI and IoT smart technology solution for livestock disease & veterinary doctor shortage,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Agriculture Department,Service Delivery,University R&D
SS00754,Developing an offline smart system for livestock disease & veterinary doctor shortage will eliminate manual delays.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
SS00755,University student startup project required for livestock disease & veterinary doctor shortage technological innovation.,Agriculture & Crop Management,Livestock Disease & Veterinary Doctor Shortage,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Agriculture Department,Service Delivery,University R&D
