problem_id,domain,category,problem_intent,problem_definition,government_route_condition,innovation_route_condition,hybrid_route_condition
PRB0079,"Roads, Transport & Mobility",Dangerous Road Potholes & Asphalt Damage,Dangerous Road Potholes & Asphalt Damage Intent,"Detailed civic issue under Roads, Transport & Mobility: Dangerous Road Potholes & Asphalt Damage.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0080,"Roads, Transport & Mobility",Monsoon Road Blockage & Mud Submergence,Monsoon Road Blockage & Mud Submergence Intent,"Detailed civic issue under Roads, Transport & Mobility: Monsoon Road Blockage & Mud Submergence.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0081,"Roads, Transport & Mobility","Damaged Bridges, Culverts & River Disconnection","Damaged Bridges, Culverts & River Disconnection Intent","Detailed civic issue under Roads, Transport & Mobility: Damaged Bridges, Culverts & River Disconnection.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0082,"Roads, Transport & Mobility",Lack of Public Bus Transport & Low Frequency,Lack of Public Bus Transport & Low Frequency Intent,"Detailed civic issue under Roads, Transport & Mobility: Lack of Public Bus Transport & Low Frequency.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0083,"Roads, Transport & Mobility",Expensive Agricultural Produce Transport,Expensive Agricultural Produce Transport Intent,"Detailed civic issue under Roads, Transport & Mobility: Expensive Agricultural Produce Transport.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0084,"Roads, Transport & Mobility",Missing Street Lighting & Night Safety Risks,Missing Street Lighting & Night Safety Risks Intent,"Detailed civic issue under Roads, Transport & Mobility: Missing Street Lighting & Night Safety Risks.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0085,"Roads, Transport & Mobility",Choked Urban Traffic & Poor Signal Control,Choked Urban Traffic & Poor Signal Control Intent,"Detailed civic issue under Roads, Transport & Mobility: Choked Urban Traffic & Poor Signal Control.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0086,Electricity & Power Supply,Un-electrified Rural Habitations,Un-electrified Rural Habitations Intent,Detailed civic issue under Electricity & Power Supply: Un-electrified Rural Habitations.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0087,Electricity & Power Supply,Frequent Power Outages & Prolonged Blackouts,Frequent Power Outages & Prolonged Blackouts Intent,Detailed civic issue under Electricity & Power Supply: Frequent Power Outages & Prolonged Blackouts.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0088,Electricity & Power Supply,Low Voltage & Single Phase Line Drop,Low Voltage & Single Phase Line Drop Intent,Detailed civic issue under Electricity & Power Supply: Low Voltage & Single Phase Line Drop.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0089,Electricity & Power Supply,Burnt Distribution Transformer & Overload,Burnt Distribution Transformer & Overload Intent,Detailed civic issue under Electricity & Power Supply: Burnt Distribution Transformer & Overload.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0090,Electricity & Power Supply,Dangling High-Tension Wires & Bent Poles,Dangling High-Tension Wires & Bent Poles Intent,Detailed civic issue under Electricity & Power Supply: Dangling High-Tension Wires & Bent Poles.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0091,Electricity & Power Supply,Incorrect Billing & Meter Reading Errors,Incorrect Billing & Meter Reading Errors Intent,Detailed civic issue under Electricity & Power Supply: Incorrect Billing & Meter Reading Errors.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0092,Electricity & Power Supply,Agricultural Pump Electricity Interruption,Agricultural Pump Electricity Interruption Intent,Detailed civic issue under Electricity & Power Supply: Agricultural Pump Electricity Interruption.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0093,Electricity & Power Supply,Defective Solar Microgrids & Streetlight Batteries,Defective Solar Microgrids & Streetlight Batteries Intent,Detailed civic issue under Electricity & Power Supply: Defective Solar Microgrids & Streetlight Batteries.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0094,Internet & Digital Connectivity,Missing Mobile Towers & Dead Network Zones,Missing Mobile Towers & Dead Network Zones Intent,Detailed civic issue under Internet & Digital Connectivity: Missing Mobile Towers & Dead Network Zones.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0095,Internet & Digital Connectivity,4G/5G Broadband Unavailability in Tribal Belts,4G/5G Broadband Unavailability in Tribal Belts Intent,Detailed civic issue under Internet & Digital Connectivity: 4G/5G Broadband Unavailability in Tribal Belts.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0096,Internet & Digital Connectivity,Government Online Portal Failures & Slow Servers,Government Online Portal Failures & Slow Servers Intent,Detailed civic issue under Internet & Digital Connectivity: Government Online Portal Failures & Slow Servers.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0097,Internet & Digital Connectivity,Low Digital Literacy & Computer Access Deficit,Low Digital Literacy & Computer Access Deficit Intent,Detailed civic issue under Internet & Digital Connectivity: Low Digital Literacy & Computer Access Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0098,Internet & Digital Connectivity,CSC Center Mismanagement & Excessive Charges,CSC Center Mismanagement & Excessive Charges Intent,Detailed civic issue under Internet & Digital Connectivity: CSC Center Mismanagement & Excessive Charges.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0099,Internet & Digital Connectivity,Biometric Authentication & OTP Delivery Failures,Biometric Authentication & OTP Delivery Failures Intent,Detailed civic issue under Internet & Digital Connectivity: Biometric Authentication & OTP Delivery Failures.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0100,Employment & Livelihood,High Rural Youth Unemployment & Underemployment,High Rural Youth Unemployment & Underemployment Intent,Detailed civic issue under Employment & Livelihood: High Rural Youth Unemployment & Underemployment.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0101,Employment & Livelihood,Seasonal Farm Distress & Lack of Local Jobs,Seasonal Farm Distress & Lack of Local Jobs Intent,Detailed civic issue under Employment & Livelihood: Seasonal Farm Distress & Lack of Local Jobs.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0102,Employment & Livelihood,Exploitative Out-Migration of Local Labor,Exploitative Out-Migration of Local Labor Intent,Detailed civic issue under Employment & Livelihood: Exploitative Out-Migration of Local Labor.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0103,Employment & Livelihood,Lack of Local Industrial & Manufacturing Units,Lack of Local Industrial & Manufacturing Units Intent,Detailed civic issue under Employment & Livelihood: Lack of Local Industrial & Manufacturing Units.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0104,Employment & Livelihood,Skill Training & Market Demand Mismatch,Skill Training & Market Demand Mismatch Intent,Detailed civic issue under Employment & Livelihood: Skill Training & Market Demand Mismatch.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0105,Employment & Livelihood,Lack of Entrepreneurship & MSME Credit Access,Lack of Entrepreneurship & MSME Credit Access Intent,Detailed civic issue under Employment & Livelihood: Lack of Entrepreneurship & MSME Credit Access.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0106,Migration & Migrant Welfare,Distress Migration Due to Drought & Job Scarcity,Distress Migration Due to Drought & Job Scarcity Intent,Detailed civic issue under Migration & Migrant Welfare: Distress Migration Due to Drought & Job Scarcity.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0107,Migration & Migrant Welfare,Unsafe Accommodation & Delayed Migrant Wages,Unsafe Accommodation & Delayed Migrant Wages Intent,Detailed civic issue under Migration & Migrant Welfare: Unsafe Accommodation & Delayed Migrant Wages.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0108,Migration & Migrant Welfare,Lack of Social Security Portability for Migrants,Lack of Social Security Portability for Migrants Intent,Detailed civic issue under Migration & Migrant Welfare: Lack of Social Security Portability for Migrants.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0109,Migration & Migrant Welfare,Disruption of Migrant Children Education & Health,Disruption of Migrant Children Education & Health Intent,Detailed civic issue under Migration & Migrant Welfare: Disruption of Migrant Children Education & Health.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0110,Tribal & Remote Community Issues,Remote Forest Habitation Connectivity Barriers,Remote Forest Habitation Connectivity Barriers Intent,Detailed civic issue under Tribal & Remote Community Issues: Remote Forest Habitation Connectivity Barriers.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0111,Tribal & Remote Community Issues,Forest Produce Pricing & Middlemen Exploitation,Forest Produce Pricing & Middlemen Exploitation Intent,Detailed civic issue under Tribal & Remote Community Issues: Forest Produce Pricing & Middlemen Exploitation.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0112,Tribal & Remote Community Issues,Lack of Tribal Vernacular Education Materials,Lack of Tribal Vernacular Education Materials Intent,Detailed civic issue under Tribal & Remote Community Issues: Lack of Tribal Vernacular Education Materials.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0113,Tribal & Remote Community Issues,Forest Rights Act (FRA) Land Patta Delays,Forest Rights Act (FRA) Land Patta Delays Intent,Detailed civic issue under Tribal & Remote Community Issues: Forest Rights Act (FRA) Land Patta Delays.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0114,Tribal & Remote Community Issues,Inaccessible Banking & Financial Services in Tribal Belts,Inaccessible Banking & Financial Services in Tribal Belts Intent,Detailed civic issue under Tribal & Remote Community Issues: Inaccessible Banking & Financial Services in Tribal Belts.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0115,"Forest, Environment & Wildlife",Illegal Deforestation & Timber Smuggling,Illegal Deforestation & Timber Smuggling Intent,"Detailed civic issue under Forest, Environment & Wildlife: Illegal Deforestation & Timber Smuggling.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0116,"Forest, Environment & Wildlife",Forest Fires & Biodiversity Loss,Forest Fires & Biodiversity Loss Intent,"Detailed civic issue under Forest, Environment & Wildlife: Forest Fires & Biodiversity Loss.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0117,"Forest, Environment & Wildlife",Human-Elephant Conflict & Crop Raid Damage,Human-Elephant Conflict & Crop Raid Damage Intent,"Detailed civic issue under Forest, Environment & Wildlife: Human-Elephant Conflict & Crop Raid Damage.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0118,"Forest, Environment & Wildlife",Industrial & Mining Dust Air Pollution,Industrial & Mining Dust Air Pollution Intent,"Detailed civic issue under Forest, Environment & Wildlife: Industrial & Mining Dust Air Pollution.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0119,"Forest, Environment & Wildlife",River Water Contamination from Industrial Effluents,River Water Contamination from Industrial Effluents Intent,"Detailed civic issue under Forest, Environment & Wildlife: River Water Contamination from Industrial Effluents.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0120,"Forest, Environment & Wildlife",Unchecked Plastic & Municipal Solid Waste Dumping,Unchecked Plastic & Municipal Solid Waste Dumping Intent,"Detailed civic issue under Forest, Environment & Wildlife: Unchecked Plastic & Municipal Solid Waste Dumping.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0121,Mining Area Problems,Heavy Coal Dust & Suspended Particulate Pollution,Heavy Coal Dust & Suspended Particulate Pollution Intent,Detailed civic issue under Mining Area Problems: Heavy Coal Dust & Suspended Particulate Pollution.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0122,Mining Area Problems,Groundwater Contamination in Coal & Iron Belts,Groundwater Contamination in Coal & Iron Belts Intent,Detailed civic issue under Mining Area Problems: Groundwater Contamination in Coal & Iron Belts.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0123,Mining Area Problems,Mine Subsidence Cracks in Village Dwellings,Mine Subsidence Cracks in Village Dwellings Intent,Detailed civic issue under Mining Area Problems: Mine Subsidence Cracks in Village Dwellings.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0124,Mining Area Problems,Abandoned Mining Pits & Safety Hazards,Abandoned Mining Pits & Safety Hazards Intent,Detailed civic issue under Mining Area Problems: Abandoned Mining Pits & Safety Hazards.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0125,Mining Area Problems,Heavy Truck Overloading Road Destruction,Heavy Truck Overloading Road Destruction Intent,Detailed civic issue under Mining Area Problems: Heavy Truck Overloading Road Destruction.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0126,Sanitation & Waste Management,Absence of Toilets & Open Defecation,Absence of Toilets & Open Defecation Intent,Detailed civic issue under Sanitation & Waste Management: Absence of Toilets & Open Defecation.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0127,Sanitation & Waste Management,Waterless Unusable Public & School Toilets,Waterless Unusable Public & School Toilets Intent,Detailed civic issue under Sanitation & Waste Management: Waterless Unusable Public & School Toilets.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0128,Sanitation & Waste Management,Lack of Underground Sewage & Overflowing Drains,Lack of Underground Sewage & Overflowing Drains Intent,Detailed civic issue under Sanitation & Waste Management: Lack of Underground Sewage & Overflowing Drains.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0129,Sanitation & Waste Management,Uncollected Municipal Garbage & Open Dumping,Uncollected Municipal Garbage & Open Dumping Intent,Detailed civic issue under Sanitation & Waste Management: Uncollected Municipal Garbage & Open Dumping.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0130,Sanitation & Waste Management,Absence of Waste Segregation & Processing Units,Absence of Waste Segregation & Processing Units Intent,Detailed civic issue under Sanitation & Waste Management: Absence of Waste Segregation & Processing Units.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0131,Housing & PMAY,Homeless Families & Unsafe Kutcha Houses,Homeless Families & Unsafe Kutcha Houses Intent,Detailed civic issue under Housing & PMAY: Homeless Families & Unsafe Kutcha Houses.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0132,Housing & PMAY,Monsoon Roof Leakage & Flood-Prone Dwellings,Monsoon Roof Leakage & Flood-Prone Dwellings Intent,Detailed civic issue under Housing & PMAY: Monsoon Roof Leakage & Flood-Prone Dwellings.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0133,Housing & PMAY,Pradhan Mantri Awas Yojana (PMAY) Construction Delays,Pradhan Mantri Awas Yojana (PMAY) Construction Delays Intent,Detailed civic issue under Housing & PMAY: Pradhan Mantri Awas Yojana (PMAY) Construction Delays.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0134,Housing & PMAY,Lack of Household Electricity & Water Connections,Lack of Household Electricity & Water Connections Intent,Detailed civic issue under Housing & PMAY: Lack of Household Electricity & Water Connections.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0135,Women Welfare & Safety,Female Unemployment & Lack of SHG Market Linkages,Female Unemployment & Lack of SHG Market Linkages Intent,Detailed civic issue under Women Welfare & Safety: Female Unemployment & Lack of SHG Market Linkages.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0136,Women Welfare & Safety,Menstrual Hygiene Access Deficit & Girl Dropouts,Menstrual Hygiene Access Deficit & Girl Dropouts Intent,Detailed civic issue under Women Welfare & Safety: Menstrual Hygiene Access Deficit & Girl Dropouts.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0137,Women Welfare & Safety,Unsafe Public Transport & Lack of Helpline Response,Unsafe Public Transport & Lack of Helpline Response Intent,Detailed civic issue under Women Welfare & Safety: Unsafe Public Transport & Lack of Helpline Response.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0138,Women Welfare & Safety,Lack of Women Financial Inclusion & Digital Literacy,Lack of Women Financial Inclusion & Digital Literacy Intent,Detailed civic issue under Women Welfare & Safety: Lack of Women Financial Inclusion & Digital Literacy.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0139,Child Rights & Welfare,Child Labor & Early Child Marriage Risks,Child Labor & Early Child Marriage Risks Intent,Detailed civic issue under Child Rights & Welfare: Child Labor & Early Child Marriage Risks.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0140,Child Rights & Welfare,Unsafe School Buildings & Missing Transport,Unsafe School Buildings & Missing Transport Intent,Detailed civic issue under Child Rights & Welfare: Unsafe School Buildings & Missing Transport.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0141,Child Rights & Welfare,Anganwadi Preschool Infrastructure Deficit,Anganwadi Preschool Infrastructure Deficit Intent,Detailed civic issue under Child Rights & Welfare: Anganwadi Preschool Infrastructure Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0142,Elderly Care & Pensions,Old Age & Widow Pension Payment Delays,Old Age & Widow Pension Payment Delays Intent,Detailed civic issue under Elderly Care & Pensions: Old Age & Widow Pension Payment Delays.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0143,Elderly Care & Pensions,Complex Biometric Linkage Barriers for Pensioners,Complex Biometric Linkage Barriers for Pensioners Intent,Detailed civic issue under Elderly Care & Pensions: Complex Biometric Linkage Barriers for Pensioners.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0144,Elderly Care & Pensions,Inaccessible Healthcare & Geriatric Care Deficit,Inaccessible Healthcare & Geriatric Care Deficit Intent,Detailed civic issue under Elderly Care & Pensions: Inaccessible Healthcare & Geriatric Care Deficit.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0145,Persons with Disabilities (PwD),"Inaccessible Public Buildings, Ramps & Toilets","Inaccessible Public Buildings, Ramps & Toilets Intent","Detailed civic issue under Persons with Disabilities (PwD): Inaccessible Public Buildings, Ramps & Toilets.","Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0146,Persons with Disabilities (PwD),Disability Certificate Application Delays,Disability Certificate Application Delays Intent,Detailed civic issue under Persons with Disabilities (PwD): Disability Certificate Application Delays.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0147,Persons with Disabilities (PwD),Lack of Assistive Devices & Inclusive Education,Lack of Assistive Devices & Inclusive Education Intent,Detailed civic issue under Persons with Disabilities (PwD): Lack of Assistive Devices & Inclusive Education.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0148,Government Scheme Delivery,Citizen Ignorance of Eligible Welfare Schemes,Citizen Ignorance of Eligible Welfare Schemes Intent,Detailed civic issue under Government Scheme Delivery: Citizen Ignorance of Eligible Welfare Schemes.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0149,Government Scheme Delivery,Complex Documentation & Aadhaar Linkage Errors,Complex Documentation & Aadhaar Linkage Errors Intent,Detailed civic issue under Government Scheme Delivery: Complex Documentation & Aadhaar Linkage Errors.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0150,Government Scheme Delivery,Pending Scheme Applications & Payment Delays,Pending Scheme Applications & Payment Delays Intent,Detailed civic issue under Government Scheme Delivery: Pending Scheme Applications & Payment Delays.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0151,Government Scheme Delivery,Corruption Allegations & Rejected Applications,Corruption Allegations & Rejected Applications Intent,Detailed civic issue under Government Scheme Delivery: Corruption Allegations & Rejected Applications.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0152,PDS & Food Security,Far Away & Irregular Ration Shop Opening,Far Away & Irregular Ration Shop Opening Intent,Detailed civic issue under PDS & Food Security: Far Away & Irregular Ration Shop Opening.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
PRB0153,PDS & Food Security,Biometric Fingerprint Authentication Failure at PDS,Biometric Fingerprint Authentication Failure at PDS Intent,Detailed civic issue under PDS & Food Security: Biometric Fingerprint Authentication Failure at PDS.,"Routine administrative maintenance, repair, staff posting, or scheme execution.","Requires new R&D, IoT sensor network, AI computer vision, or hardware prototyping.",Requires immediate field relief today + long-term university research innovation.
