complaint_id,complaint_text,domain,category,route,severity,recurrence,innovation_required,innovation_area,affected_population,government_level,department,problem_type,solution_type
SS00477,University student startup project required for unirrigated farmland & monsoon dependency technological innovation.,Irrigation & Farm Water,Unirrigated Farmland & Monsoon Dependency,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Irrigation Department,Service Delivery,University R&D
SS00478,Abhi तुरंत department emergency team bheje for unirrigated farmland & monsoon dependency aur future ke liye early warning technology setup karein.,Irrigation & Farm Water,Unirrigated Farmland & Monsoon Dependency,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00479,Har monsoon/season unirrigated farmland & monsoon dependency me ye issue hota hai. Immediate repair along with long-term technological innovation.,Irrigation & Farm Water,Unirrigated Farmland & Monsoon Dependency,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00480,प्रशासन से तुरंत unirrigated farmland & monsoon dependency के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Irrigation & Farm Water,Unirrigated Farmland & Monsoon Dependency,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00481,urgent govt inspection today for unirrigated farmland & monsoon dependency n smart AI tech for future plzz,Irrigation & Farm Water,Unirrigated Farmland & Monsoon Dependency,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00482,"Missing Canal Network in our village area is completely non-functional, urgent government action required.",Irrigation & Farm Water,Missing Canal Network,Government,High,Persistent,No,None,150,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00483,"Pichle 15 din se missing canal network ka dikkat ho raha hai, authority field team ko bheje.",Irrigation & Farm Water,Missing Canal Network,Government,High,Occasional,No,None,450,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00484,हमारे पंचायत में missing canal network से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Irrigation & Farm Water,Missing Canal Network,Government,Medium,Persistent,No,None,150,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00485,missing canal network issue in ward 3 officer not picking up calls,Irrigation & Farm Water,Missing Canal Network,Government,Low,Occasional,No,None,1200,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00486,gaov me missing canal network kharab h 2 mahine se koi sunne wala nahi h,Irrigation & Farm Water,Missing Canal Network,Government,Medium,Occasional,No,None,1200,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00487,Block level grievance filed for missing canal network last month but service is pending.,Irrigation & Farm Water,Missing Canal Network,Government,Low,One-time,No,None,1200,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00488,Urgent maintenance team required for missing canal network near village center.,Irrigation & Farm Water,Missing Canal Network,Government,High,One-time,No,None,450,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00489,Public facility for missing canal network has been completely unmaintained for 3 months.,Irrigation & Farm Water,Missing Canal Network,Government,Low,Persistent,No,None,8500,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00490,Gaon me missing canal network work left incomplete by local contractor.,Irrigation & Farm Water,Missing Canal Network,Government,Medium,Occasional,No,None,8500,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00491,"ग्राम पंचायत में missing canal network की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Irrigation & Farm Water,Missing Canal Network,Government,Medium,Persistent,No,None,450,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00492,We need an automated digital technology system for missing canal network (smart civic infrastructure & sensor analytics) to monitor continuously.,Irrigation & Farm Water,Missing Canal Network,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Irrigation Department,Service Delivery,University R&D
SS00493,Is missing canal network problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Irrigation & Farm Water,Missing Canal Network,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00494,नवीनतम तकनीक और एआई मॉडल के माध्यम से missing canal network का स्वचालित समाधान किया जाना चाहिए।,Irrigation & Farm Water,Missing Canal Network,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00495,need AI and IoT smart technology solution for missing canal network,Irrigation & Farm Water,Missing Canal Network,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Irrigation Department,Service Delivery,University R&D
SS00496,Developing an offline smart system for missing canal network will eliminate manual delays.,Irrigation & Farm Water,Missing Canal Network,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Irrigation Department,Service Delivery,University R&D
SS00497,University student startup project required for missing canal network technological innovation.,Irrigation & Farm Water,Missing Canal Network,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Irrigation Department,Service Delivery,University R&D
SS00498,Abhi तुरंत department emergency team bheje for missing canal network aur future ke liye early warning technology setup karein.,Irrigation & Farm Water,Missing Canal Network,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00499,Har monsoon/season missing canal network me ye issue hota hai. Immediate repair along with long-term technological innovation.,Irrigation & Farm Water,Missing Canal Network,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00500,प्रशासन से तुरंत missing canal network के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Irrigation & Farm Water,Missing Canal Network,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00501,urgent govt inspection today for missing canal network n smart AI tech for future plzz,Irrigation & Farm Water,Missing Canal Network,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00502,"Canal Water Flow Interruption & Damage in our village area is completely non-functional, urgent government action required.",Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,High,Persistent,No,None,3500,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00503,"Pichle 15 din se canal water flow interruption & damage ka dikkat ho raha hai, authority field team ko bheje.",Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,High,Occasional,No,None,3500,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00504,हमारे पंचायत में canal water flow interruption & damage से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Medium,Persistent,No,None,450,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00505,canal water flow interruption & damage issue in ward 3 officer not picking up calls,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Low,Occasional,No,None,3500,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00506,gaov me canal water flow interruption & damage kharab h 2 mahine se koi sunne wala nahi h,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Medium,Occasional,No,None,450,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00507,Block level grievance filed for canal water flow interruption & damage last month but service is pending.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Low,One-time,No,None,8500,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00508,Urgent maintenance team required for canal water flow interruption & damage near village center.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,High,One-time,No,None,8500,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00509,Public facility for canal water flow interruption & damage has been completely unmaintained for 3 months.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Low,Persistent,No,None,1200,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00510,Gaon me canal water flow interruption & damage work left incomplete by local contractor.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Medium,Occasional,No,None,3500,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00511,"ग्राम पंचायत में canal water flow interruption & damage की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Government,Medium,Persistent,No,None,150,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00512,We need an automated digital technology system for canal water flow interruption & damage (smart civic infrastructure & sensor analytics) to monitor continuously.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,State Department,Irrigation Department,Service Delivery,University R&D
SS00513,Is canal water flow interruption & damage problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00514,नवीनतम तकनीक और एआई मॉडल के माध्यम से canal water flow interruption & damage का स्वचालित समाधान किया जाना चाहिए।,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Irrigation Department,Service Delivery,University R&D
SS00515,need AI and IoT smart technology solution for canal water flow interruption & damage,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00516,Developing an offline smart system for canal water flow interruption & damage will eliminate manual delays.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Irrigation Department,Service Delivery,University R&D
SS00517,University student startup project required for canal water flow interruption & damage technological innovation.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Irrigation Department,Service Delivery,University R&D
SS00518,Abhi तुरंत department emergency team bheje for canal water flow interruption & damage aur future ke liye early warning technology setup karein.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00519,Har monsoon/season canal water flow interruption & damage me ye issue hota hai. Immediate repair along with long-term technological innovation.,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00520,प्रशासन से तुरंत canal water flow interruption & damage के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00521,urgent govt inspection today for canal water flow interruption & damage n smart AI tech for future plzz,Irrigation & Farm Water,Canal Water Flow Interruption & Damage,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00522,"Broken Check Dam & Siltation in our village area is completely non-functional, urgent government action required.",Irrigation & Farm Water,Broken Check Dam & Siltation,Government,High,Persistent,No,None,1200,District Level (DC Office),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00523,"Pichle 15 din se broken check dam & siltation ka dikkat ho raha hai, authority field team ko bheje.",Irrigation & Farm Water,Broken Check Dam & Siltation,Government,High,Occasional,No,None,3500,Block Level (BDO),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00524,हमारे पंचायत में broken check dam & siltation से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Medium,Persistent,No,None,450,Block Level (BDO),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00525,broken check dam & siltation issue in ward 3 officer not picking up calls,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Low,Occasional,No,None,8500,District Level (DC Office),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00526,gaov me broken check dam & siltation kharab h 2 mahine se koi sunne wala nahi h,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Medium,Occasional,No,None,8500,District Level (DC Office),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00527,Block level grievance filed for broken check dam & siltation last month but service is pending.,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Low,One-time,No,None,450,District Level (DC Office),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00528,Urgent maintenance team required for broken check dam & siltation near village center.,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,High,One-time,No,None,3500,District Level (DC Office),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00529,Public facility for broken check dam & siltation has been completely unmaintained for 3 months.,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Low,Persistent,No,None,1200,Panchayat Level,Irrigation Department,Infrastructure,Repair / Staff Posting
SS00530,Gaon me broken check dam & siltation work left incomplete by local contractor.,Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Medium,Occasional,No,None,3500,Panchayat Level,Irrigation Department,Infrastructure,Repair / Staff Posting
SS00531,"ग्राम पंचायत में broken check dam & siltation की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Irrigation & Farm Water,Broken Check Dam & Siltation,Government,Medium,Persistent,No,None,450,Block Level (BDO),Irrigation Department,Infrastructure,Repair / Staff Posting
SS00532,We need an automated digital technology system for broken check dam & siltation (smart civic infrastructure & sensor analytics) to monitor continuously.,Irrigation & Farm Water,Broken Check Dam & Siltation,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Irrigation Department,Infrastructure,University R&D
SS00533,Is broken check dam & siltation problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Irrigation & Farm Water,Broken Check Dam & Siltation,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Irrigation Department,Infrastructure,University R&D
SS00534,नवीनतम तकनीक और एआई मॉडल के माध्यम से broken check dam & siltation का स्वचालित समाधान किया जाना चाहिए।,Irrigation & Farm Water,Broken Check Dam & Siltation,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Irrigation Department,Infrastructure,University R&D
SS00535,need AI and IoT smart technology solution for broken check dam & siltation,Irrigation & Farm Water,Broken Check Dam & Siltation,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Panchayat Level,Irrigation Department,Infrastructure,University R&D
SS00536,Developing an offline smart system for broken check dam & siltation will eliminate manual delays.,Irrigation & Farm Water,Broken Check Dam & Siltation,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,District Level (DC Office),Irrigation Department,Infrastructure,University R&D
SS00537,University student startup project required for broken check dam & siltation technological innovation.,Irrigation & Farm Water,Broken Check Dam & Siltation,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,State Department,Irrigation Department,Infrastructure,University R&D
SS00538,Abhi तुरंत department emergency team bheje for broken check dam & siltation aur future ke liye early warning technology setup karein.,Irrigation & Farm Water,Broken Check Dam & Siltation,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Irrigation Department,Infrastructure,Govt Action + University R&D
SS00539,Har monsoon/season broken check dam & siltation me ye issue hota hai. Immediate repair along with long-term technological innovation.,Irrigation & Farm Water,Broken Check Dam & Siltation,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,450,State Department,Irrigation Department,Infrastructure,Govt Action + University R&D
SS00540,प्रशासन से तुरंत broken check dam & siltation के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Irrigation & Farm Water,Broken Check Dam & Siltation,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Irrigation Department,Infrastructure,Govt Action + University R&D
SS00541,urgent govt inspection today for broken check dam & siltation n smart AI tech for future plzz,Irrigation & Farm Water,Broken Check Dam & Siltation,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,Block Level (BDO),Irrigation Department,Infrastructure,Govt Action + University R&D
SS00542,"Dried Farm Ponds & Tank Scarcity in our village area is completely non-functional, urgent government action required.",Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,High,Persistent,No,None,150,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00543,"Pichle 15 din se dried farm ponds & tank scarcity ka dikkat ho raha hai, authority field team ko bheje.",Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,High,Occasional,No,None,1200,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00544,हमारे पंचायत में dried farm ponds & tank scarcity से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Medium,Persistent,No,None,150,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00545,dried farm ponds & tank scarcity issue in ward 3 officer not picking up calls,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Low,Occasional,No,None,150,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00546,gaov me dried farm ponds & tank scarcity kharab h 2 mahine se koi sunne wala nahi h,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Medium,Occasional,No,None,1200,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00547,Block level grievance filed for dried farm ponds & tank scarcity last month but service is pending.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Low,One-time,No,None,150,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00548,Urgent maintenance team required for dried farm ponds & tank scarcity near village center.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,High,One-time,No,None,450,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00549,Public facility for dried farm ponds & tank scarcity has been completely unmaintained for 3 months.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Low,Persistent,No,None,3500,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00550,Gaon me dried farm ponds & tank scarcity work left incomplete by local contractor.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Medium,Occasional,No,None,1200,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00551,"ग्राम पंचायत में dried farm ponds & tank scarcity की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Government,Medium,Persistent,No,None,8500,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00552,We need an automated digital technology system for dried farm ponds & tank scarcity (smart civic infrastructure & sensor analytics) to monitor continuously.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,Panchayat Level,Irrigation Department,Service Delivery,University R&D
SS00553,Is dried farm ponds & tank scarcity problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Irrigation Department,Service Delivery,University R&D
SS00554,नवीनतम तकनीक और एआई मॉडल के माध्यम से dried farm ponds & tank scarcity का स्वचालित समाधान किया जाना चाहिए।,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Irrigation Department,Service Delivery,University R&D
SS00555,need AI and IoT smart technology solution for dried farm ponds & tank scarcity,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00556,Developing an offline smart system for dried farm ponds & tank scarcity will eliminate manual delays.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,3500,State Department,Irrigation Department,Service Delivery,University R&D
SS00557,University student startup project required for dried farm ponds & tank scarcity technological innovation.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Irrigation Department,Service Delivery,University R&D
SS00558,Abhi तुरंत department emergency team bheje for dried farm ponds & tank scarcity aur future ke liye early warning technology setup karein.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00559,Har monsoon/season dried farm ponds & tank scarcity me ye issue hota hai. Immediate repair along with long-term technological innovation.,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,8500,District Level (DC Office),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00560,प्रशासन से तुरंत dried farm ponds & tank scarcity के लिए सहायता भेजी जाए तथा भविष्य के लिए आधुनिक डिजिटल मॉडल विकसित किया जाए।,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,State Department,Irrigation Department,Service Delivery,Govt Action + University R&D
SS00561,urgent govt inspection today for dried farm ponds & tank scarcity n smart AI tech for future plzz,Irrigation & Farm Water,Dried Farm Ponds & Tank Scarcity,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00562,"Rainwater Harvesting Deficit in our village area is completely non-functional, urgent government action required.",Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,High,Persistent,No,None,150,State Department,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00563,"Pichle 15 din se rainwater harvesting deficit ka dikkat ho raha hai, authority field team ko bheje.",Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,High,Occasional,No,None,150,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00564,हमारे पंचायत में rainwater harvesting deficit से संबंधित समस्या पर कई हफ्तों से कोई संज्ञान नहीं लिया गया।,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Medium,Persistent,No,None,8500,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00565,rainwater harvesting deficit issue in ward 3 officer not picking up calls,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Low,Occasional,No,None,150,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00566,gaov me rainwater harvesting deficit kharab h 2 mahine se koi sunne wala nahi h,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Medium,Occasional,No,None,450,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00567,Block level grievance filed for rainwater harvesting deficit last month but service is pending.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Low,One-time,No,None,8500,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00568,Urgent maintenance team required for rainwater harvesting deficit near village center.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,High,One-time,No,None,150,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00569,Public facility for rainwater harvesting deficit has been completely unmaintained for 3 months.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Low,Persistent,No,None,8500,Block Level (BDO),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00570,Gaon me rainwater harvesting deficit work left incomplete by local contractor.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Medium,Occasional,No,None,450,District Level (DC Office),Irrigation Department,Service Delivery,Repair / Staff Posting
SS00571,"ग्राम पंचायत में rainwater harvesting deficit की स्थिति अत्यंत खराब है, अधिकारी संज्ञान लें।",Irrigation & Farm Water,Rainwater Harvesting Deficit,Government,Medium,Persistent,No,None,450,Panchayat Level,Irrigation Department,Service Delivery,Repair / Staff Posting
SS00572,We need an automated digital technology system for rainwater harvesting deficit (smart civic infrastructure & sensor analytics) to monitor continuously.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Innovation,Medium,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00573,Is rainwater harvesting deficit problem ko permanently solve karne ke liye low-cost IoT sensor prototype R&D chahiye.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Irrigation Department,Service Delivery,University R&D
SS00574,नवीनतम तकनीक और एआई मॉडल के माध्यम से rainwater harvesting deficit का स्वचालित समाधान किया जाना चाहिए।,Irrigation & Farm Water,Rainwater Harvesting Deficit,Innovation,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,450,Panchayat Level,Irrigation Department,Service Delivery,University R&D
SS00575,need AI and IoT smart technology solution for rainwater harvesting deficit,Irrigation & Farm Water,Rainwater Harvesting Deficit,Innovation,Low,One-time,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Irrigation Department,Service Delivery,University R&D
SS00576,Developing an offline smart system for rainwater harvesting deficit will eliminate manual delays.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Innovation,Medium,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,150,District Level (DC Office),Irrigation Department,Service Delivery,University R&D
SS00577,University student startup project required for rainwater harvesting deficit technological innovation.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Innovation,Low,Occasional,Yes,Smart Civic Infrastructure & Sensor Analytics,450,District Level (DC Office),Irrigation Department,Service Delivery,University R&D
SS00578,Abhi तुरंत department emergency team bheje for rainwater harvesting deficit aur future ke liye early warning technology setup karein.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Hybrid,High,Recurring,Yes,Smart Civic Infrastructure & Sensor Analytics,150,Block Level (BDO),Irrigation Department,Service Delivery,Govt Action + University R&D
SS00579,Har monsoon/season rainwater harvesting deficit me ye issue hota hai. Immediate repair along with long-term technological innovation.,Irrigation & Farm Water,Rainwater Harvesting Deficit,Hybrid,High,Persistent,Yes,Smart Civic Infrastructure & Sensor Analytics,1200,Panchayat Level,Irrigation Department,Service Delivery,Govt Action + University R&D
